4195A Spectrum Analyzer 2021/01/12 18:32:27,Commercial Radio FM Band,,
N,FREQUENCY [ Hz ],DBm,Phase
53,92600000.000000,-8.671720e+01,7.917330e+01
54,92650000.000000,-8.447460e+01,8.070730e+01
55,92700000.000000,-8.547270e+01,8.222410e+01
56,92750000.000000,-9.064050e+01,8.367500e+01
57,92800000.000000,-9.076690e+01,8.516770e+01
58,92850000.000000,-8.398000e+01,8.660800e+01
59,92900000.000000,-8.383410e+01,8.815650e+01
60,92950000.000000,-9.004100e+01,8.969130e+01
61,93000000.000000,-8.018050e+01,9.123260e+01
62,93050000.000000,-8.233830e+01,9.268320e+01
63,93100000.000000,-8.475610e+01,9.419500e+01
64,93150000.000000,-8.426670e+01,9.572060e+01
65,93200000.000000,-8.367810e+01,9.717870e+01
66,93250000.000000,-8.610420e+01,9.869730e+01
67,93300000.000000,-8.506370e+01,1.002220e+02
68,93350000.000000,-8.476820e+01,1.017020e+02
69,93400000.000000,-8.649190e+01,1.031870e+02
70,93450000.000000,-8.398060e+01,1.046780e+02
71,93500000.000000,-8.500230e+01,1.061220e+02
72,93550000.000000,-8.436960e+01,1.077530e+02
73,93600000.000000,-8.738010e+01,1.093100e+02
74,93650000.000000,-8.855260e+01,1.107560e+02
75,93700000.000000,-8.108160e+01,1.122370e+02
76,93750000.000000,-8.483600e+01,1.138320e+02
77,93800000.000000,-7.974800e+01,1.152890e+02
78,93850000.000000,-8.262740e+01,1.167220e+02
79,93900000.000000,-8.192900e+01,1.183320e+02
80,93950000.000000,-7.935540e+01,1.198590e+02
81,94000000.000000,-8.146500e+01,1.213210e+02
82,94050000.000000,-8.538120e+01,1.228380e+02
83,94100000.000000,-8.634770e+01,1.243610e+02
84,94150000.000000,-8.391420e+01,1.258560e+02
85,94200000.000000,-8.857700e+01,1.273800e+02
86,94250000.000000,-8.862980e+01,1.289770e+02
87,94300000.000000,-8.710190e+01,1.304250e+02
88,94350000.000000,-8.386920e+01,1.318660e+02
89,94400000.000000,-8.835880e+01,1.333880e+02
90,94450000.000000,-8.772090e+01,1.349350e+02
91,94500000.000000,-8.467500e+01,1.364120e+02
92,94550000.000000,-8.707910e+01,1.379580e+02
93,94600000.000000,-8.216570e+01,1.393840e+02
94,94650000.000000,-8.559240e+01,1.408950e+02
95,94700000.000000,-8.419100e+01,1.425570e+02
96,94750000.000000,-8.899110e+01,1.440690e+02
97,94800000.000000,-8.342200e+01,1.455070e+02
98,94850000.000000,-8.333520e+01,1.470510e+02
99,94900000.000000,-8.622080e+01,1.486060e+02
100,94950000.000000,-8.564960e+01,1.500730e+02
101,95000000.000000,-8.484180e+01,1.516490e+02
102,95050000.000000,-8.261330e+01,1.531610e+02
103,95100000.000000,-8.295070e+01,1.546020e+02
104,95150000.000000,-8.162180e+01,1.560870e+02
105,95200000.000000,-8.243460e+01,1.576510e+02
106,95250000.000000,-8.878870e+01,1.591550e+02
107,95300000.000000,-8.780570e+01,1.606520e+02
108,95350000.000000,-8.338870e+01,1.623010e+02
109,95400000.000000,-8.467030e+01,1.637420e+02
110,95450000.000000,-7.973310e+01,1.652890e+02
111,95500000.000000,-8.107270e+01,1.668040e+02
112,95550000.000000,-8.089750e+01,1.682100e+02
113,95600000.000000,-8.548090e+01,1.697210e+02
114,95650000.000000,-8.579550e+01,1.712250e+02
115,95700000.000000,-8.583630e+01,1.727350e+02
116,95750000.000000,-7.989810e+01,1.742400e+02
117,95800000.000000,-8.305540e+01,1.757360e+02
118,95850000.000000,-8.422200e+01,1.771560e+02
119,95900000.000000,-8.157680e+01,1.786500e+02
120,95950000.000000,-8.507810e+01,-1.798740e+02
121,96000000.000000,-8.737030e+01,-1.785880e+02
122,96050000.000000,-8.031530e+01,-1.770490e+02
123,96100000.000000,-8.251580e+01,-1.755910e+02
124,96150000.000000,-8.662180e+01,-1.740930e+02
125,96200000.000000,-8.275970e+01,-1.727410e+02
126,96250000.000000,-8.286490e+01,-1.712050e+02
127,96300000.000000,-7.544070e+01,-1.697190e+02
128,96350000.000000,-8.015350e+01,-1.682660e+02
129,96400000.000000,-8.255710e+01,-1.669100e+02
130,96450000.000000,-8.154680e+01,-1.653770e+02
131,96500000.000000,-9.083810e+01,-1.638430e+02
132,96550000.000000,-8.414560e+01,-1.624190e+02
133,96600000.000000,-8.348610e+01,-1.609280e+02
134,96650000.000000,-8.141960e+01,-1.595160e+02
135,96700000.000000,-8.321980e+01,-1.579830e+02
136,96750000.000000,-8.530200e+01,-1.566550e+02
137,96800000.000000,-8.464600e+01,-1.551590e+02
138,96850000.000000,-8.324320e+01,-1.536550e+02
139,96900000.000000,-8.480600e+01,-1.521940e+02
